linea,codigo,producto
LINEA 1,3666,CCSA 2.5 L NRP 6P S/P Full Red
LINEA 1,3665,CCSA 2.5 L NRP 6P C/P Full Red
LINEA 1,3694,CCSA 3L NRP No Preciado
LINEA 1,3574,CCSA 2.5 Prec 6
LINEA 1,988,Coca Cola 2.5 Lts Nrp
LINEA 1,3065,Coca Cola sin azúcar 2.5 Lts NRP 6P
LINEA 1,189,Coca Cola 3 L NRP
LINEA 1,1934,Sidral Mza Mundet 2.5L 6p
LINEA 1,736,Fanta 2.5 L NRP
LINEA 1,3030,CrNga 2.5L NR 6
LINEA 1,3585,Cristal Minerlzda 2.5L NRP 6P
LINEA 1,3633,CC 2.5L NRP 8P
LINEA 1,3162,CCZ2.5LNRP6P
LINEA 1,3032,CrFsa 2.5L NR 6
LINEA 1,3031,CRCbd 2.5L NR 6
LINEA 1,1770,Fanta 3 lts 6 pack
LINEA 1,796,Spr 2.5 Lts NRP
LINEA 1,797,Fresca 2.5 L NRP
LINEA 2,3059,CC sin Azúcar 600 ml NRP 12P
LINEA 2,815,Coca Cola 600ml NRP 24 PACK
LINEA 2,2224,Cristal Minerlzd 600ml NR 12P
LINEA 2,1076,CC L 600 NRP 12 PACK
LINEA 2,3157,CCZ600NRP12P
LINEA 2,1056,Cristal Fsa 600 ml NRP 12 pack
LINEA 2,3759,Coca Cola 450 ml Nr 24 pack
LINEA 2,1058,Cristal Cbd 600 ml NRP 12 pack
LINEA 2,1057,Cristal Nga 600 ml NRP 12 pack
LINEA 2,1156,Coca 600ml NR12
LINEA 3,3818,Cr negra 1.5 9Pack
LINEA 3,3817,Cr Fresa 1.5 lts 9 pack
LINEA 3,2304,Cr Mundet 1.5 lts 9 pack
LINEA 3,2303,Sprite 1.5 9 pack
LINEA 3,2302,Fanta 1.5 9pack
LINEA 3,2136,Cr fresca 1.5 lts 9 pack
LINEA 3,3695,CCSA1.75NRP9PFR
LINEA 3,3816,Cr Cebada 1.5 lts 9 pack
LINEA 3,3976,MundetMza135LNR
LINEA 3,3972,Fanta1.35LNRP12p
LINEA 3,3974,Fresca135LNRP12
LINEA 3,2920,CC 1.75LNRP 9P
LINEA 3,4539,CrCeb1.75LNRP9P
LINEA 3,3984,FtaNja1.75LNRP9
LINEA 3,3978,Sprite135LNRP12
LINEA 3,3893,Light 1.75 9P
LINEA 3,3988,MdtMz1.75LNRP9P
LINEA 3,2405,Mundet Manzana 3L NRP 6P
LINEA 3,2768,VFcpunch3lnrp6p
LINEA 3,5188,FcaFusión1.75P9
LINEA 3,3990,Sprit1.75LNRP9p
LINEA 3,4574,Cr Minera1.75P9
LINEA 3,4540,CrFr1.75LNRP9P
LINEA 3,4541,CrNg1.75LNRP9Pz
LINEA 3,3986,Fresca175LNRP9p
LINEA 3,3968,CrFs1.35LNRP12P
LINEA 3,3970,CrNg1.35LNRP12P
LINEA 3,3966,CrCb1.35LNRP12P
LINEA 3,1807,Cristal Fresa 3 L 6pack
LINEA 3,1221,Cristal Negra 3L 6pack
LINEA 3,2206,Sprite3LtsNRP6P
LINEA 3,1771,Fresca 3 lts 6 Pack
